,title,link
180,12c Henry Clay War Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_439
181,12c Henry Clay Treasury Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_429
182,12c Henry Clay State Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_418
183,12c Henry Clay Agriculture Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_351
184,12c Henry Clay Navy Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_377
185,12c Henry Clay Navy Department India plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_365
186,12c Henry Clay Interior Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_387
187,The National Whig Banner,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24686-000001
188,"The Winning Brace, Nellie & Dan",https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-31965
189,Concerned Citizens Voters League Card from the home of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-1443FE591D1B2_2001
190,Receipt from Photo Supply Ltd. from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-47E3FE834AED2_2001
191,White canvas Masonic apron owned by H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2007_1_36_001
192,Leather Masonic apron owned by H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-41930E1757352_1001
193,Coffee House Conversation,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-25228
194,Address stamp from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-E95CAF8512D82_5001
195,Same Old Coon,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_2001_58_10
196,Focus scope from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-72BBB5307CD32_4001-000002
197,35mm camera from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-82BAB317C1CD2_4001-000002
198,The Nation's Choice for President and Vice President,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_82_10NationsChoiceforPresident-000001
199,The Camp Meeting,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24833
200,"Grand National Whig Banner, ""Onward""",https://ids.si.edu/ids/deliveryService?max_w=550&id=SAAM-1974.83_1
201,Richard P. Robinson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S-NPG_78_32
202,Game Birds of America / Woodcock,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24481
203,James Henry Hackett,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-S-NPG_77_219
204,Camera from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-E6355D1642602_4001-000002
205,"Brick from the Waterside Mall development in Southwest neighborhood of Washington, DC",https://ids.si.edu/ids/deliveryService?max_w=550&id=ACM-acmobj-201700060001-r1
206,Same Old Coon,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_90_29
207,United States Senate Chamber,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPG-NPG_77_11Clay_UnitedStatesSenateChamber-000001
208,Film box from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2007_1_30_6_001
209,Film box from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2007_1_30_4_001
210,Case for a camera filter from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-8E7CCA10FD222_5001
211,Game Birds of America / Snipe,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24471-000001
212,Game Birds of America / California or Valley Quail,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24472-000001
213,Game Birds of America / Quail,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-24476
214,Camera filter from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-BCDBD26D5BCC2_4007-000002
215,Contact sheet printer from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-ff88b9e45a502_4001
216,Film box from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-63F69445C0922_4001-000002
217,Film box from the studio of H.C. Anderson,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-6CAF851C7F842_4001-000002
